longitude,latitude,prec_hiver,prec_printemps,prec_ete,prec_automne,Tmin_hiver,Tmin_printemps,Tmin_ete,Tmin_automne,Tmax_hiver,Tmax_printemps,Tmax_ete,Tmax_automne
5.742,19.603,0.0,0.97499996,10.55,3.6000001,11.666667,23.666666,26.75,20.916666,28.583334,39.333332,40.0,35.416668
5.776,19.619,0.0,0.9666667,10.583333,3.7666667,11.833333,23.75,27.0,21.333334,28.5,39.333332,40.0,35.25
2.971,19.988,0.4,0.7666667,11.608333,7.3833337,10.0,20.916666,25.25,19.0,26.916666,37.666668,39.666668,34.0
2.61,20.375,0.44166663,1.2333333,10.416667,6.1,10.0,21.0,26.0,19.416666,27.0,37.5,39.833332,34.333332
5.677,22.55,0.8999999,2.875,6.5416665,3.3916667,6.0,17.083334,22.5,16.333334,22.666666,32.416668,35.5,29.833334
5.677,22.552,0.8999999,2.875,6.5416665,3.3916667,6.0,17.083334,22.5,16.333334,22.666666,32.416668,35.5,29.833334
5.684,22.552,0.8999999,2.875,6.5416665,3.3916667,6.0,17.083334,22.5,16.333334,22.666666,32.416668,35.5,29.833334
5.684,22.553,0.8999999,2.875,6.5416665,3.3916667,6.0,17.083334,22.5,16.333334,22.666666,32.416668,35.5,29.833334
5.999,22.607,0.82500005,2.4666665,5.166667,2.9333334,6.5833335,17.916666,23.5,17.083334,23.416666,33.333332,36.5,30.75
7.917,22.614,0.7583334,1.85,2.8083332,1.6333333,7.75,20.0,25.083334,18.333334,23.583334,34.583332,37.75,31.583334
4.584,22.654,0.55,1.3333334,3.95,3.0,7.75,18.75,24.833334,18.666666,26.5,36.25,39.583332,33.833332
5.534,22.734,0.9416666,3.0333335,6.5,3.8333337,5.25,16.25,22.083334,15.833333,22.666666,32.25,35.583332,29.666666
5.531,22.735,0.9416666,3.0333335,6.5,3.8333337,5.25,16.25,22.083334,15.833333,22.666666,32.25,35.583332,29.666666
5.538,22.735,0.9416666,3.0333335,6.5,3.8333337,5.25,16.25,22.083334,15.833333,22.666666,32.25,35.583332,29.666666
5.531,22.736,0.9416666,3.0333335,6.5,3.8333337,5.25,16.25,22.083334,15.833333,22.666666,32.25,35.583332,29.666666
5.536,22.736,0.9416666,3.0333335,6.5,3.8333337,5.25,16.25,22.083334,15.833333,22.666666,32.25,35.583332,29.666666
5.534,22.737,0.9416666,3.0333335,6.5,3.8333337,5.25,16.25,22.083334,15.833333,22.666666,32.25,35.583332,29.666666
5.539,22.737,0.9416666,3.0333335,6.5,3.8333337,5.25,16.25,22.083334,15.833333,22.666666,32.25,35.583332,29.666666
5.511,22.851,1.0166667,3.3999999,7.8250003,3.9583333,4.1666665,15.25,21.25,15.0,21.416666,31.0,34.666668,28.416666
5.518,22.858,1.0166667,3.3999999,7.8250003,3.9583333,4.1666665,15.25,21.25,15.0,21.416666,31.0,34.666668,28.416666
